3.062,-4.135
3.087,-4.134
3.103,-4.119
3.113,-4.093
3.088,-4.018
3.081,-3.97
3.052,-3.892
3.048,-3.851
3.022,-3.782
3.014,-3.738
3.007,-3.698
2.985,-3.639
2.271,-2.669
2.277,-2.665
2.28,-2.657
2.867,-3.265
2.878,-3.255
2.875,-3.231
2.87,-3.205
2.864,-3.177
2.849,-3.142
2.846,-3.119
2.845,-3.098
2.827,-3.062
2.824,-3.041
2.81,-3.01
2.808,-2.991
2.796,-2.963
2.794,-2.944
2.792,-2.926
2.78,-2.9
2.779,-2.883
2.769,-2.86
2.767,-2.843
2.765,-2.826
2.755,-2.804
2.754,-2.789
2.745,-2.768
2.744,-2.753
2.744,-2.739
2.737,-2.721
2.743,-2.712
2.753,-2.706
2.652,-2.579
2.657,-2.571
2.663,-2.564
2.668,-2.556
2.677,-2.55
2.685,-2.543
2.686,-2.533
2.685,-2.522
2.677,-2.507
2.678,-2.497
2.677,-2.486
2.661,-2.447
2.659,-2.436
2.659,-2.427
2.655,-2.415
2.654,-2.405
2.653,-2.395
2.647,-2.383
2.647,-2.374
2.643,-2.363
2.642,-2.354
2.641,-2.344
2.637,-2.334
2.634,-2.324
2.619,-2.259
2.621,-2.251
2.614,-2.24
2.61,-2.231
2.608,-2.223
2.604,-2.214
2.602,-2.205
2.602,-2.197
2.6,-2.189
2.597,-2.18
2.595,-2.172
2.592,-2.164
2.592,-2.156
2.587,-2.147
2.587,-2.14
2.582,-2.131
2.581,-2.124
2.58,-2.116
2.577,-2.108
2.576,-2.1
2.575,-2.093
2.571,-2.085
2.57,-2.078
2.567,-2.07
2.565,-2.063
2.564,-2.055
2.56,-2.048
2.558,-2.04
2.559,-2.033
2.557,-2.026
2.553,-2.019
2.553,-2.012
2.549,-2.004
2.549,-1.997
2.545,-1.99
2.543,-1.983
2.543,-1.976
2.539,-1.969
2.538,-1.962
2.538,-1.955
2.535,-1.948
2.533,-1.941
2.53,-1.935
2.528,-1.928
2.527,-1.921
2.524,-1.914
2.524,-1.907
2.523,-1.9
2.52,-1.894
2.517,-1.887
2.516,-1.88
2.515,-1.874
2.513,-1.867
2.51,-1.86
2.509,-1.854
2.508,-1.847
2.504,-1.84
2.503,-1.834
2.501,-1.827
2.5,-1.82
2.498,-1.814
2.496,-1.807
2.495,-1.8
2.493,-1.794
2.491,-1.787
2.489,-1.78
2.487,-1.774
2.485,-1.767
2.483,-1.761
2.483,-1.754
2.481,-1.747
2.478,-1.741
2.476,-1.734
2.474,-1.728
2.471,-1.721
2.469,-1.715
2.468,-1.708
2.467,-1.7
2.465,-1.694
2.464,-1.687
2.459,-1.681
2.458,-1.674
2.457,-1.667
2.456,-1.66
2.453,-1.654
2.452,-1.646
2.45,-1.639
2.447,-1.633
2.445,-1.626
2.444,-1.619
2.441,-1.612
2.441,-1.604
2.437,-1.598
2.435,-1.591
2.433,-1.584
2.431,-1.577
2.429,-1.57
2.427,-1.563
2.427,-1.554
2.424,-1.547
2.422,-1.54
2.42,-1.533
2.417,-1.526
2.416,-1.518
2.414,-1.51
2.411,-1.503
2.41,-1.495
2.407,-1.488
2.405,-1.48
2.402,-1.473
2.401,-1.464
2.398,-1.457
2.396,-1.449
2.394,-1.44
2.392,-1.432
2.39,-1.424
2.387,-1.417
2.387,-1.406
2.384,-1.399
2.381,-1.39
2.379,-1.382
2.376,-1.373
2.373,-1.365
2.372,-1.355
2.369,-1.347
2.366,-1.338
2.364,-1.328
2.361,-1.32
2.358,-1.312
2.356,-1.302
2.354,-1.292
2.35,-1.283
2.349,-1.272
2.345,-1.263
2.341,-1.255
2.341,-1.242
2.336,-1.233
2.333,-1.223
2.333,-1.21
2.328,-1.202
2.325,-1.192
2.323,-1.179
2.318,-1.17
2.318,-1.155
2.314,-1.145
2.308,-1.137
2.304,-1.127
2.303,-1.112
2.299,-1.1
2.295,-1.09
2.294,-1.073
2.289,-1.063
2.284,-1.053
2.282,-1.036
2.278,-1.024
2.273,-1.013
2.273,-0.992
2.267,-0.98
2.262,-0.969
2.259,-0.952
2.255,-0.938
2.249,-0.926
2.246,-0.907
2.241,-0.894
2.235,-0.88
2.232,-0.859
2.226,-0.846
2.22,-0.832
2.218,-0.808
2.211,-0.794
2.205,-0.779
2.203,-0.753
2.196,-0.737
2.19,-0.718
2.188,-0.688
2.181,-0.671
2.173,-0.655
2.17,-0.625
2.163,-0.606
2.155,-0.587
2.151,-0.554
2.142,-0.535
2.134,-0.516
2.13,-0.478
2.121,-0.457
2.112,-0.434
2.108,-0.39
2.098,-0.368
2.088,-0.343
2.083,-0.297
2.073,-0.27
2.061,-0.248
2.051,-0.217
2.043,-0.167
2.031,-0.137
2.02,-0.103
2.016,-0.011
1.915,0.265
1.895,0.267
1.89,0.504
1.868,0.505
1.854,0.682
1.831,0.683
1.809,0.744
1.785,0.744
1.762,0.869
1.711,1.013
1.65,1.352
1.614,1.547
1.583,1.545
1.547,1.644
1.509,1.742
1.404,2.248
1.367,2.245
1.283,2.735
1.242,2.731
0.66,1.315
0.633,1.298
0.605,1.289
0.577,1.275
0.549,1.265
0.455,1.341
0.426,1.329
0.385,1.347
0.358,1.328
0.329,1.316
0.297,1.311
0.267,1.302
0.233,1.3
0.201,1.294
0.17,1.284
0.137,1.281
0.108,1.267
0.076,1.26
0.044,1.252
0.01,1.248
-0.02,1.236
-0.052,1.228
-0.088,1.226
-0.119,1.214
-0.818,-2.045
-0.818,-2.067
-0.813,-2.089
-0.8,-2.111
-0.799,-2.133
-0.806,-2.155
-0.797,-2.177
-0.791,-2.199
-0.785,-2.22
0.373,-2.145
0.374,-2.156
-0.746,-2.326
-0.743,-2.348
-0.721,-2.433
-0.718,-2.454
-0.71,-2.475
-0.701,-2.495
-0.693,-2.516
-0.685,-2.536
-0.676,-2.556
-0.683,-2.58
-0.682,-2.602
-0.676,-2.623
-0.69,-2.649
-0.688,-2.672
-0.694,-2.696
-0.715,-2.725
-0.519,-3.05
-0.51,-3.07
-0.508,-3.093
-0.513,-3.119
-0.517,-3.146
-0.521,-3.173
-0.514,-3.195
-0.522,-3.224
-0.514,-3.245
-0.5,-3.263
-0.506,-3.292
0.546,-2.729
0.552,-2.739
-0.542,-5.126
-0.515,-5.146
-0.457,-5.123
-0.38,-5.07
-0.34,-5.068
-0.302,-5.069
-0.251,-5.05
-0.211,-5.047
-0.168,-5.037
-0.106,-4.995
-0.073,-5.001
-0.031,-4.989
0.01,-4.98
0.051,-4.967
0.106,-4.929
0.144,-4.922
0.186,-4.904
0.217,-4.907
0.251,-4.903
0.293,-4.883
0.327,-4.878
0.361,-4.872
0.401,-4.851
0.431,-4.852
0.462,-4.848
0.503,-4.823
0.537,-4.811
0.574,-4.792
0.764,-4.728
0.788,-4.737
0.817,-4.73
0.845,-4.726
0.872,-4.722
0.902,-4.711
0.929,-4.706
0.957,-4.698
0.985,-4.689
1.01,-4.688
1.036,-4.686
1.064,-4.673
1.083,-4.698
1.114,-4.668
1.14,-4.662
1.167,-4.651
1.193,-4.641
1.218,-4.637
1.242,-4.634
1.269,-4.618
1.294,-4.61
1.319,-4.598
1.342,-4.598
1.364,-4.605
1.377,-4.68
1.396,-4.718
1.418,-4.741
1.439,-4.772
1.463,-4.77
1.487,-4.772
1.513,-4.763
1.537,-4.76
1.562,-4.754
1.584,-4.775
1.608,-4.793
1.632,-4.809
1.655,-4.838
1.91,-6.168
1.946,-6.166
1.985,-6.204
2.021,-6.201
2.059,-6.207
2.924,-4.4
2.945,-4.389
