-0.624,-2.502,2.064
-0.606,-2.494,2.056
-0.588,-2.462,2.024
-0.577,-2.229,1.792
-0.561,-2.229,1.792
-0.546,-2.23,1.794
-0.529,-2.246,1.81
-0.513,-2.249,1.814
-0.497,-2.248,1.814
-0.481,-2.252,1.82
-0.465,-2.253,1.822
-0.449,-2.254,1.824
-0.433,-2.252,1.824
-0.417,-2.254,1.828
-0.401,-2.256,1.832
-0.384,-2.258,1.836
-0.368,-2.258,1.838
-0.352,-2.26,1.842
-0.335,-2.261,1.846
-0.318,-2.265,1.852
-0.302,-2.264,1.854
-0.285,-2.265,1.858
-0.269,-2.264,1.86
-0.253,-2.263,1.862
-0.236,-2.263,1.866
-0.219,-2.262,1.868
-0.202,-2.264,1.874
-0.184,-2.268,1.882
-0.168,-2.268,1.886
-0.149,-2.274,1.896
-0.132,-2.273,1.9
-0.115,-2.273,1.904
-0.096,-2.278,1.914
-0.08,-2.275,1.916
-0.062,-2.274,1.92
-0.045,-2.275,1.926
-0.027,-2.274,1.93
-0.015,-2.259,1.92
0.001,-2.253,1.92
0.023,-2.265,1.938
0.082,-2.326,2.016
0.099,-2.32,2.016
1.117,-4.748,4.648
1.155,-4.732,4.648
1.361,-4.419,4.448
1.396,-4.401,4.448
1.463,-4.447,4.52
1.513,-4.457,4.552
1.583,-4.502,4.624
1.622,-4.489,4.632
1.669,-4.49,4.656
1.708,-4.477,4.664
1.747,-4.464,4.672
1.795,-4.463,4.696
1.834,-4.449,4.704
1.882,-4.448,4.728
1.925,-4.439,4.744
1.969,-4.43,4.76
2.017,-4.427,4.784
2.056,-4.411,4.792
2.095,-4.394,4.8
2.139,-4.383,4.816
2.178,-4.365,4.824
2.212,-4.341,4.824
2.265,-4.342,4.856
2.308,-4.329,4.872
2.352,-4.316,4.888
2.4,-4.309,4.912
2.444,-4.295,4.928
2.493,-4.287,4.952
2.546,-4.284,4.984
1.455,-2.033,2.62
1.469,-2.015,2.62
2.52,-1.429,3.296
2.528,-1.402,3.296
2.529,-1.372,3.288
2.537,-1.344,3.288
2.521,-1.31,3.264
2.498,-1.275,3.232
2.517,-1.25,3.244
2.512,-1.22,3.232
2.188,-1.113,2.892
2.194,-1.089,2.892
2.161,-1.055,2.852
2.158,-1.029,2.844
2.155,-1.003,2.836
2.148,-0.977,2.824
2.153,-0.953,2.824
2.169,-0.931,2.836
2.209,-0.912,2.872
2.209,-0.887,2.868
2.3,-0.875,2.956
2.323,-0.852,2.976
2.327,-0.827,2.976
2.695,-0.846,3.344
2.699,-0.817,3.344
2.698,-0.787,3.34
2.994,1.173,3.96
2.98,1.204,3.96
1.421,0.994,2.496
1.408,1.011,2.496
2.288,3.498,4.896
2.254,3.523,4.896
2.257,3.6,4.96
2.226,3.631,4.968
2.199,3.669,4.984
2.15,3.674,4.96
2.105,3.685,4.944
2.034,3.655,4.88
1.99,3.664,4.864
1.945,3.673,4.848
1.425,3.671,4.592
1.389,3.689,4.592
1.343,3.685,4.568
1.3,3.687,4.552
1.257,3.69,4.536
1.208,3.677,4.504
1.169,3.685,4.496
1.13,3.693,4.488
0.876,3.682,4.384
0.84,3.694,4.384
0.798,3.692,4.368
0.762,3.704,4.368
0.724,3.709,4.36
0.685,3.713,4.352
0.644,3.708,4.336
0.601,3.696,4.312
0.554,3.668,4.272
0.52,3.686,4.28
0.488,3.712,4.296
0.444,3.69,4.264
0.406,3.692,4.256
0.368,3.693,4.248
0.33,3.693,4.24
0.292,3.694,4.232
0.286,3.842,4.376
0.261,3.913,4.44
0.225,3.928,4.448
0.187,3.935,4.448
0.147,3.934,4.44
0.109,3.941,4.44
0.07,3.939,4.432
0.031,3.945,4.432
-1.194,4.207,4.68
-1.235,4.202,4.68
